Information here is subject to the policy as set forth by Gale in the terms and conditions found here: https://support.gale.com/terms/

Search Terms, "Directory Title ("Encyclopedia of Associations: Regional, State and Local Organizations") And Edition (28)  LIMITS: Database ..."

Document Number,Entity Name,Main Address - Street1,Main Address - Street2,Main Address - Street3,Main Address - Street4,Main Address - Street5,Composed City,City,State Code,Zip Code,Country,Telephone Area Code,Telephone Number,Toll Free Number,Fax Number,Organization Email Address,Organization Website URL,SIC Code,SIC Description,SIC Code - Industries Served,SIC Description - Industries Served,Year Founded,Number of Employees,Budget,Number of Members,Library Maintained,Awards Bestowed,Award Type,Publications Issued,Publication Type,Publication Frequency,Advertising Accepted,Conventions/Meetings Held,Conventions/Meeting Type,Exhibits,Subject Descriptor,Section Number,Section Heading,Officer 1,Officer 2,Officer 3,Officer 4,Officer 5
"PTGYUP659917414","Alzheimer's Association - Greater Dallas Chapter","3001 Knox St., Ste. 200","","","","","Dallas, TX 75205 USA","Dallas","TX","75205","United States","214","(214)540-2400","800-272-3900","(214)827-2064","helpline@alzdallas.org","http://www.alz.org/greaterdallas","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Alzheimer's Disease","4; 08","South Central and Great Plains States; Health and Medical Organizations","Becky Prince, President","","","",""
"VRHLFJ135484580","Alzheimer's Association - Longview","501 Pine Tree Rd., Ste. U-4","","","","","Longview, TX 75606 USA","Longview","TX","75606","United States","903","(903)806-8038","","","","http://www.dshs.state.tx.us/alzheimers/chapters.shtm","","","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Alzheimer's Disease","4","South Central and Great Plains States","","","","",""
"RUBECS333866266","Alzheimer's Association - Lubbock, Texas","3610 22nd St., Ste. 300","","","","","Lubbock, TX 79410 USA","Lubbock","TX","79410","United States","806","(806)725-0935","800-272-3900","(806)725-0998","","http://www.alz.org/westtexas","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Alzheimer's Disease","4; 08","South Central and Great Plains States; Health and Medical Organizations","Debbie Erdwurm","","","",""
"MPLUYM842757302","Alzheimer's Association - Midland, Texas","4400 N Big Spring St., Ste. C32","","","","","Midland, TX 79705 USA","Midland","TX","79705","United States","432","(432)570-9191","800-272-3900","(432)683-2345","","http://www.alz.org/westtexas","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Alzheimer's Disease","4; 08","South Central and Great Plains States; Health and Medical Organizations","Debbie Erdwurm","","","",""
"YSIAPG875363222","Alzheimer's Association, STAR Chapter","4687 N Mesa St., Ste. 200","","","","","El Paso, TX 79912 USA","El Paso","TX","79912","United States","915","(915)544-1799","800-272-3900","(915)544-8746","vlosoya@alz.org","http://www.alz.org/westtexas/in_my_community_contact.asp","8621","Professional Organizations","8322","Individual and Family Services","1982","","","","Yes","None Reported","","None Reported","","","","None Reported","","","Alzheimer's Disease","4; 08","South Central and Great Plains States; Health and Medical Organizations","Mitch Moss","","","",""
"LYQYOL169139953","Alzheimer's Association - Waco, Texas","668 Alliance Pky.","","","","","Hewitt, TX 76643 USA","Hewitt","TX","76643","United States","254","(254)753-7722","800-272-3900","","","http://www.alz.org/northcentraltexas","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Alzheimer's Disease","4; 08","South Central and Great Plains States; Health and Medical Organizations","Carolyn Berry","","","",""
"WWVGPD923234193","Alzheimer's Association - West Texas Chapter","4687 N Mesa, St. 200","","","","","El Paso, TX 79912 USA","El Paso","TX","79912","United States","915","(915)544-1799","","","","http://www.alz.org/westtexas","","","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Alzheimer's Disease","4","South Central and Great Plains States","Tracy Sommers","","","",""
"BTWRWP830762052","Amalgamated Transit Union - Local 694","1901 N Flores St.","","","","","San Antonio, TX 78212 USA","San Antonio","TX","78212","United States","210","(210)733-6326; (210)733-6327","","(210)733-6328","","http://www.atulocal694.com/default.htm","8631","Labor Organizations","","","","","","1000","None Reported","None Reported","","None Reported","","","","None Reported","","","Transportation","4; 15","South Central and Great Plains States; Labor Unions, Associations, and Federations","Dan Rodriguez","","","",""
"PNNZNR871154811","Amarillo Area Young Lawyers Association","c/o Blair Oscarsson","PO Box 9620","","","","Amarillo, TX 79105 USA","Amarillo","TX","79105","United States","806","(806)374-5317","","","","http://www.tyla.org/tyla/index.cfm/affiliates","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Attorneys","4; 03","South Central and Great Plains States; Legal, Governmental, Public Administration, and Military Organizations","Blair Oscarsson","","","",""
"ODVQTS925907364","Amarillo Arthritis and Fibromyalgia Support Group","7714 Farrell Dr.","","","","","Amarillo, TX 79121 USA","Amarillo","TX","79121","United States","806","(806)354-8828","","","","http://www.fmcpaware.org/support-groups/browse-support-groups.html?sid=102:Texas","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Fibromyalgia","4; 08","South Central and Great Plains States; Health and Medical Organizations","Judy Moenter","","","",""
"ZAORLX419436276","Amarillo Balloon Association","709 S Van Buren St.","","","","","Amarillo, TX 79101 USA","Amarillo","TX","79101","United States","806","(806)367-8311","","","information@balloonamarillo.org","http://www.balloonamarillo.org","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Balloon","4; 14","South Central and Great Plains States; Athletic and Sports Organizations","Chris Jones","","","",""
"WJHVVY850219570","Amarillo Downtown Lions Club","PO Box 2792","","","","","Amarillo, TX 79105 USA","Amarillo","TX","79105","United States","806","(806)373-0648","","","amalions@sbcglobal.net","http://www.amalions.org","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Service Clubs","4; 07","South Central and Great Plains States; Social Welfare Organizations","Forest Holt","","","",""
"KUHJMS942973312","Amarillo Economic Development Corporation","801 S Fillmore St., Ste. 205","","","","","Amarillo, TX 79101 USA","Amarillo","TX","79101","United States","806","(806)379-6411","800-333-7892","(806)371-0112","","http://amarilloedc.com","8611","Business Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Economic Development","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","Richard David, CEO","","","",""
"NMAFRL177756936","Amarillo Inventors' Association (AIA)","c/o Paul Kiefer, President","3440 Bell St., Ste. 320","","","","Amarillo, TX 79109 USA","Amarillo","TX","79109","United States","806","(806)670-5660","","","info@amarilloinventors.org","http://www.amarilloinventors.org","8621","Professional Organizations","8999","Services Nec","1989","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Inventors","4; 04","South Central and Great Plains States; Engineering, Technological, and Natural and Social Sciences Organizations","Paul Kiefer","","","",""
"JHCCWD010271490","American Academy of Matrimonial Lawyers - Texas Chapter","c/o Charlie Hodges, President","3012 Fairmount St., Ste. 150","","","","Dallas, TX 75201 USA","Dallas","TX","75201","United States","214","(214)740-1919","","(214)528-6925","","http://tx.aaml.org","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Family Law; Attorneys; Law","4; 03","South Central and Great Plains States; Legal, Governmental, Public Administration, and Military Organizations","Charles R. Hodges","","","",""
"YHCYEG431275373","American Association for Nude Recreation - Southwestern Region (AANR-SW)","2230 Jamara Ln.","","","","","Houston, TX 77077-5618 USA","Houston","TX","77077-5618","United States","","","","","info@aanr-sw.org","http://www.aanr-sw.org","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Nudism","4; 06","South Central and Great Plains States; Cultural Organizations","Ted Peck","","","",""
"NLIXDR074799564","American Association of Drilling Engineers - Central Texas Chapter","PO Box 591640","","","","","San Antonio, TX 78259 USA","San Antonio","TX","78259","United States","","","","","centraltexasaade@yahoo.com","http://www.aade.org/chapters/central-texas","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Petroleum","4; 04","South Central and Great Plains States; Engineering, Technological, and Natural and Social Sciences Organizations","Jeff Marshall","","","",""
"NPMPSO158790983","American Association of Drilling Engineers - Dallas/Fort Worth","PO Box 801205","","","","","Dallas, TX 75380-1205 USA","Dallas","TX","75380-1205","United States","","","","","","http://www.aade.org/chapters/dallas-ft-worth/contacts","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Engineering","4; 04","South Central and Great Plains States; Engineering, Technological, and Natural and Social Sciences Organizations","Chase Hanna","","","",""
"WGSGNJ071150815","American Association of Kidney Patients - Lone Star Chapter (AAKP)","5020 Old Seguin Rd., Ste. 3","","","","","San Antonio, TX 78219-1016 USA","San Antonio","TX","78219-1016","United States","210","(210)392-6337","","","","http://www.tethyshealth.com/patient-resources-support-groups-by-state-n-w.html","8699","Membership Organizations Nec","8322","Individual and Family Services","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Nephrology","4; 08","South Central and Great Plains States; Health and Medical Organizations","Roberta Wager","","","",""
"MSACKM028807082","American Association of Oral and Maxillofacial Surgeons - Texas Chapter","c/o Dr. Greg Tate, President","704 Largent St.","","","","Lufkin, TX 75904 USA","Lufkin","TX","75904","United States","936","(936)632-4444","","(936)632-1212","","http://www.tx-oms.org","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Oral and Maxillofacial Surgery","4; 08","South Central and Great Plains States; Health and Medical Organizations","Greg Tate","","","",""
"UUJIKT323983015","American Association of Pharmaceutical Scientists - University of Texas at Austin Student Chapter","College of Pharmacy","The University of Texas","2409 University Ave.","Stop A1900","","Austin, TX 78712-1113 USA","Austin","TX","78712-1113","United States","512","(512)471-1737","","","pharmacy@austin.utexas.edu","http://www.utexas.edu/pharmacy/students/organizations/aaps/index.html","8621","Professional Organizations","","","2003","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Science","4; 04","South Central and Great Plains States; Engineering, Technological, and Natural and Social Sciences Organizations","Nicole Beinborn","","","",""
"MXTLJS577465858","American Association of Professional Landmen (AAPL)","800 Fournier St.","","","","","Fort Worth, TX 76102 USA","Fort Worth","TX","76102","United States","817","(817)847-7700","","(817)847-7704","aapl@landman.org","http://www.landman.org","8621","Professional Organizations","","","1955","8","2000000","","None Reported","None Reported","","None Reported","Magazine; Directory","bimonthly; annual","Yes","None Reported","","","Petroleum","4; 01","South Central and Great Plains States; Trade, Business, and Commercial Organizations","Don M. Key","","","",""
